id,price,neighbourhood_cleansed,borough,latitude,longitude,property_type_cleaned,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_score_avg,months_since_last_review,host_years_experience,host_is_superhost,calculated_host_listings_count,nearest_subway_km,listing_count,avg_price,median_price,avg_review_score,listing_density,subway_station_count,subway_density,crime_count,crime_per_1000_listings
808630199296631199,366.0,Midtown,Manhattan,40.75357859182821,-73.97308996973676,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.35767624126053893,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808630277447023911,366.0,Midtown,Manhattan,40.75298,-73.97363,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.2808400621134692,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808630375571933404,366.0,Midtown,Manhattan,40.75162213530028,-73.97196918148992,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.3994776042553368,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808630467328402208,366.0,Midtown,Manhattan,40.75148155727566,-73.97199037905483,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.39699177158704546,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808630550223421071,366.0,Midtown,Manhattan,40.75186,-73.97165,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.43236687071037955,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
806772034013586078,350.0,Harlem,Manhattan,40.81141,-73.93959,Private room in rental unit,Private room,3,1.0,1.0,1.0,30,365,364,0,4.827142857142858,120.0,8.7,f,1,0.29948840085027867,1025,147.0341463414634,106.0,4.756217421602788,1606333876339.304,15.0,23507325019.59957,50000,48780.48780487805
806807540134759323,200.0,Bushwick,Brooklyn,40.70128,-73.91431,Private room in rental unit,Private room,2,1.0,1.0,1.0,2,60,365,37,4.8028571428571425,4.0,7.6,t,1,0.26164577676681167,755,116.03576158940398,95.0,4.761791863765374,1497472268298.8037,12.0,23800883734.55052,40000,52980.132450331126
806814059542619975,113.0,Ozone Park,Queens,40.66766,-73.83593,Entire home,Entire home/apt,6,1.0,1.0,1.0,30,1125,270,6,3.7157142857142857,19.6,6.3,f,1,0.19188640243699995,64,104.234375,94.0,4.787589285714286,124255229564.53487,6.0,11648927771.675144,25000,390625.0
806899252911679312,150.0,Crown Heights,Brooklyn,40.67760280510439,-73.94488914903127,Private room in rental unit,Private room,2,1.0,1.0,1.0,30,365,365,0,4.827142857142858,120.0,2.3,f,1,0.4557178091633075,644,154.40217391304347,120.0,4.783937444543035,1011296175135.8604,7.0,10992349729.737614,40000,62111.801242236026
807000904173339945,100.0,Bushwick,Brooklyn,40.69733,-73.91436,Private room in rental unit,Private room,2,1.0,1.0,1.0,30,365,365,0,4.827142857142858,120.0,5.5,f,1,0.2825159154808931,755,116.03576158940398,95.0,4.761791863765374,1497472268298.8037,12.0,23800883734.55052,40000,52980.132450331126
802886228752307356,118.0,Glendale,Queens,40.7047790217148,-73.89046546820401,Private room in home,Private room,2,1.0,1.0,1.0,30,30,361,3,4.857142857142857,5.9,6.1,f,1,0.5479616720971068,53,117.75471698113208,96.0,4.825606469002696,166436020884.97818,1.0,3140302280.8486447,25000,471698.11320754717
802950550955708551,282.0,Midtown,Manhattan,40.76388186477728,-73.9822212810919,Room in hotel,Private room,3,1.0,1.0,2.0,1,29,322,1,4.714285714285714,25.6,6.3,f,11,0.1151868403670992,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
803019506754857519,129.0,East Harlem,Manhattan,40.79875,-73.93947,Entire rental unit,Entire home/apt,7,1.0,3.0,4.0,30,105,85,23,4.508571428571429,2.5,2.8,f,1,0.21073987994620172,423,144.1016548463357,120.0,4.701161769672408,1023322546578.2432,5.0,12096011188.868122,50000,118203.30969267139
808630713892978799,366.0,Midtown,Manhattan,40.7516463017176,-73.97203994478176,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.39267069792027176,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808630794075602246,366.0,Midtown,Manhattan,40.75332639851919,-73.97179218286341,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.37071062973567226,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808630883049503411,366.0,Midtown,Manhattan,40.75295846825294,-73.97344994573523,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.2947621294646252,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808631031500163292,505.0,Midtown,Manhattan,40.75149,-73.97325,Entire condo,Entire home/apt,6,2.0,2.0,3.0,30,365,246,0,4.827142857142858,120.0,3.2,f,40,0.27357910711183114,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808631322516608776,505.0,Midtown,Manhattan,40.75357,-73.97228,Entire condo,Entire home/apt,6,2.0,2.0,3.0,30,365,246,0,4.827142857142858,120.0,3.2,f,40,0.3484167939058337,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808631333908940933,505.0,Midtown,Manhattan,40.75172743640155,-73.9715531588095,Entire condo,Entire home/apt,6,2.0,2.0,3.0,30,365,246,0,4.827142857142858,120.0,3.2,f,40,0.44076684091325974,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808631435183179517,505.0,Midtown,Manhattan,40.7533633544048,-73.97129573494982,Entire condo,Entire home/apt,6,2.0,2.0,3.0,30,365,246,0,4.827142857142858,120.0,3.2,f,40,0.3719431067139388,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808631713116748676,505.0,Midtown,Manhattan,40.75290466165043,-73.9712918755421,Entire condo,Entire home/apt,6,2.0,2.0,3.0,30,365,246,0,4.827142857142858,120.0,3.2,f,40,0.4164041557965178,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
803036473552203166,35.0,Jackson Heights,Queens,40.75318818669534,-73.88460784784598,Private room in rental unit,Private room,2,1.0,1.0,1.0,30,180,44,25,4.6000000000000005,4.5,2.3,f,1,0.5491634361260795,107,78.50467289719626,62.0,4.772403204272364,314888398151.48047,3.0,8828646677.144312,25000,233644.8598130841
